SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
ELISPOT assay measuring epitope specific lymphotoxin A production by T cells	lymphotoxin A/TNFb release|ELISPOT	An assay of epitope specific lymphotoxin A production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific lymphotoxin A production by T cells	enzyme-linked immunospot assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	CCL3/MIP-1a release|RNA/DNA detection	An assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific lymphotoxin A production by T cells	lymphotoxin A/TNFb release|cytometric bead array	An assay of epitope specific lymphotoxin A production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific lymphotoxin A production by T cells	cytometric bead array assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific lymphotoxin A production by T cells	lymphotoxin A/TNFb release|RNA/DNA detection	An assay of epitope specific lymphotoxin A production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific lymphotoxin A production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
ELISPOT assay measuring epitope specific IP-10 production by T cells	CXCL10/IP-10 release|ELISPOT	An assay of epitope specific IP-10 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific IP-10 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific IP-10 production by T cells	CXCL10/IP-10 release|ICS	An assay of epitope specific IP-10 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific IP-10 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-9 production by T cells	IL-9 release|ELISPOT	An assay of epitope specific interleukin-9 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring interleukin-9 production by T cells	enzyme-linked immunospot assay									IEDB	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-9 production by T cells	IL-9 release|ICS	An assay of epitope specific interleukin-9 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring interleukin-9 production by T cells	flow cytometry assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-9 production by T cells	IL-9 release|RNA/DNA detection	An assay of epitope specific interleukin-9 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring interleukin-9 production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
ELISPOT assay measuring epitope specific interleukin-8 production by T cells	IL-8 release|ELISPOT	An assay of epitope specific interleukin-8 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-8 production by T cells	enzyme-linked immunospot assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-8 production by T cells	IL-8 release|RNA/DNA detection	An assay of epitope specific interleukin-8 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-8 production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
ELISPOT assay measuring epitope specific interleukin-3 production by T cells	IL-3 release|ELISPOT	An assay of epitope specific interleukin-3 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-3 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-7 production by T cells	IL-7 release|ELISA	An assay of epitope specific interleukin-7 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-7 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-7 production by T cells	IL-7 release|ELISPOT	An assay of epitope specific interleukin-7 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-7 production by T cells	enzyme-linked immunospot assay									IEDB	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-7 production by T cells	IL-7 release|ICS	An assay of epitope specific interleukin-7 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-7 production by T cells	flow cytometry assay									IEDB	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-27 production by T cells	IL-27 release|ICS	An assay of epitope specific interleukin-27 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-27 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-3 production by T cells	IL-3 release|cytometric bead array	An assay of epitope specific interleukin-3 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-3 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-3 production by T cells	IL-3 release|RNA/DNA detection	An assay of epitope specific interleukin-3 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-3 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific granzyme A release by T cells	granzyme A release|biological activity	A T cell epitope specific cytotoxic T cell degranulation assay that detects granzyme A release by T cells.	equivalent to	biological activity assay measuring epitope specific cytotoxic T cell degranulation					granzyme A production					IEDB	IEDB
biological activity assay measuring epitope specific granulysin release by T cells	granulysin release|biological activity	A T cell epitope specific cytotoxic T cell degranulation assay that detects granulysin release by T cells.	equivalent to	biological activity assay measuring epitope specific cytotoxic T cell degranulation					granulysin production					IEDB	IEDB
cytometric bead array assay measuring epitope specific interleukin-27 production by T cells	IL-27 release|cytometric bead array	An assay of epitope specific interleukin-27 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-27 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-23 production by T cells	IL-23 release|ICS	An assay of epitope specific interleukin-23 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-23 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-27 production by T cells	IL-27 release|ELISPOT	An assay of epitope specific interleukin-27 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-27 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-27 production by T cells	IL-27 release|ELISA	An assay of epitope specific interleukin-27 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-27 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-18 production by T cells	IL-18 release|RNA/DNA detection	An assay of epitope specific interleukin-18 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-18 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-18 production by T cells	IL-18 release|ELISPOT	An assay of epitope specific interleukin-18 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-18 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-22 production by T cells	IL-22 release|ELISPOT	An assay of epitope specific interleukin-22 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-22 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-23 production by T cells	IL-23 release|ELISPOT	An assay of epitope specific interleukin-23 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-23 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-18 production by T cells	IL-18 release|ICS	An assay of epitope specific interleukin-18 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-18 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-21 production by T cells	IL-21 release|ELISPOT	An assay of epitope specific interleukin-21 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-21 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	CCL1/TCA-3 release|RNA/DNA detection	An assay of epitope specific chemokine (C-C motif) ligand 1 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	CCL1/TCA-3 release|cytometric bead array	An assay of epitope specific chemokine (C-C motif) ligand 1 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	CCL1/TCA-3 release|ELISPOT	An assay of epitope specific chemokine (C-C motif) ligand 1 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-17F production by T cells	IL-17F release|ELISPOT	A T cell epitope specific interleukin-17F production assay that uses an ELISPOT.	equivalent to	biological activity assay measuring epitope specific interleukin-17F production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-17F production by T cells	IL-17F release|ELISA	A T cell epitope specific interleukin-17F production assay that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-17F production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17F production by T cells	IL-17F release|RNA/DNA detection	A T cell epitope specific interleukin-17F production assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17F production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-17A production by T cells	IL-17A release|ELISPOT	A T cell epitope specific interleukin-17A production assay that uses an ELISPOT.	equivalent to	biological activity assay measuring epitope specific interleukin-17A production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-18 production by T cells	IL-18 release|cytometric bead array	An assay of epitope specific interleukin-18 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-18 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-16 production by T cells	IL-16 release|RNA/DNA detection	An assay of epitope specific interleukin-16 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-16 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-16 production by T cells	IL-16 release|ELISA	An assay of epitope specific interleukin-16 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-16 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-16 production by T cells	IL-16 release|ELISPOT	An assay of epitope specific interleukin-16 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-16 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-16 production by T cells	IL-16 release|ICS	An assay of epitope specific interleukin-16 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-16 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17A production by T cells	IL-17A release|RNA/DNA detection	A T cell epitope specific interleukin-17A production assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17A production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-1 beta production by T cells	IL-1b release|ICS	An assay of epitope specific interleukin-1 beta production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-1 beta production by T cells	IL-1b release|ELISPOT	An assay of epitope specific interleukin-1 beta production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	enzyme-linked immunospot assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes measuring epitope specific interleukin-15 production by T cells	IL-15 release|RNA/DNA detection	An assay of epitope specific interleukin-15 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-15 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-12 production by T cells	IL-12 release|ELISPOT	An assay of epitope specific interleukin-12 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-12 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-15 production by T cells	IL-15 release|ICS	An assay of epitope specific interleukin-15 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-15 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-15 production by T cells	IL-15 release|ELISPOT	An assay of epitope specific interleukin-15 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-15 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring the association constant [KA] of a MHC:ligand complex	association constant KA|binding assay|1/M	A MHC binding constant determination assay measuring equilibrium association constant (KA).	equivalent to	assay measuring a binding constant of a MHC:ligand complex								equilibrium association constant (KA)	count per molar	IEDB	IEDB
assay measuring the dissociation constant [KD] of a MHC:ligand complex	dissociation constant KD|binding assay|nM	A MHC binding constant determination assay measuring equilibrium dissociation constant (KD).	equivalent to	assay measuring a binding constant of a MHC:ligand complex								equilibrium dissociation constant (KD)	nanomolar	IEDB	IEDB
purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex using radioactivity detection	dissociation constant KD|purified MHC/direct/radioactivity|nM	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	equivalent to	assay measuring the dissociation constant [KD] of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	IEDB	IEDB
assay measuring the half life of a MHC:ligand complex	half life|binding assay|min	A MHC binding constant determination assay measuring half life of binding.	equivalent to	assay measuring a binding constant of a MHC:ligand complex								half life of binding datum		IEDB	IEDB
assay measuring the half maximal effective concentration [EC50] of a MHC:ligand complex	half maximal effective concentration (EC50)|binding assay|nM	A MHC binding constant determination assay measuring half maximal effective concentration (EC50).	equivalent to	assay measuring a binding constant of a MHC:ligand complex								half maximal effective concentration (EC50)	nanomolar	IEDB	IEDB
assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	half maximal inhibitory concentration (IC50)|binding assay|nM	A MHC binding constant determination assay measuring half maximal inhibitory concentration (IC50).	equivalent to	assay measuring a binding constant of a MHC:ligand complex								half maximal inhibitory concentration (IC50)		IEDB	IEDB
assay measuring the off rate measurement [koff] of a MHC:ligand complex	off rate|binding assay|1/s	A MHC binding constant determination assay measuring binding off rate measurement data item (koff).	equivalent to	assay measuring a binding constant of a MHC:ligand complex								binding off rate measurement datum (koff)	hertz	IEDB	IEDB
assay measuring the MHC ligand binding on rate [kon] of a MHC:ligand complex	on rate|binding assay|nM^-1s^-1	A MHC binding constant determination assay measuring binding on rate (kon).	equivalent to	assay measuring a binding constant of a MHC:ligand complex								binding on rate measurement datum (kon)		IEDB	IEDB
chromatography assay measuring the association constant [KA] of a B cell epitope:antibody complex	association constant KA|chromatography|1/nM	A B cell epitope equilibrium association constant (KA) determination assay that uses an analytical chromatography assay.	equivalent to	assay measuring the association constant [KA] of a B cell epitope:antibody complex	analytical chromatography								count per nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
chromatography assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	dissociation constant KD|chromatography|nM	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses an analytical chromatography assay.	equivalent to	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	analytical chromatography								nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
hydrogen/deuterium exchange assay measuring binding of a B cell epitope:antibody complex	qualitative binding|hydrogen/deuterium exchange	A B cell epitope qualitative binding to antibody assay that uses a hydrogen/deuterium exchange assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	hydrogen/deuterium exchange assay									IEDB	IEDB
immunohistochemistry assay measuring binding of a B cell epitope:antibody complex	qualitative binding|immunohistochemistry	A B cell epitope qualitative binding to antibody assay that uses an immunohistochemistry assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	immunohistochemistry									IEDB	IEDB
3D structure determining assay of a T cell epitope:MHC:TCR complex	3D structure|any method	A T cell epitope recognition assay that uses a 3D structure determination of bound complex assay.	equivalent to	assay measuring binding of a T cell epitope:MHC:TCR complex	3D structure determination of bound complex assay							3D structural organization datum		IEDB	IEDB
3D structure determining assay of a MHC:ligand complex	3D structure|any method	A MHC:ligand binding assay that uses a 3D structure determination of bound complex assay.	equivalent to	assay measuring binding of a MHC:ligand complex	3D structure determination of bound complex assay							3D structural organization datum		IEDB	IEDB
in vivo assay measuring B cell epitope specific protection from infectious challenge based on pathogen burden	pathogen burden after challenge|in vivo assay	A B cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on pathogen burden.	subclass of	in vivo assay measuring B cell epitope specific protection from challenge	protection from challenge in vivo intervention experiment	('material entity' and 'has role' some 'pathogen role')								IEDB	IEDB
in vivo assay measuring B cell epitope specific protection from tumor challenge	tumor burden after challenge|in vivo assay	A B cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on tumor burden.	subclass of	in vivo assay measuring B cell epitope specific protection from challenge	protection from challenge in vivo intervention experiment	cancer cell line								IEDB	IEDB
microarray assay measuring binding of a B cell epitope:antibody complex	qualitative binding|microarray	A B cell epitope qualitative binding to antibody assay that uses a microarray.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	microarray									IEDB	IEDB
NMR assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	dissociation constant KD|nuclear magnetic resonance (NMR)|nM	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses a nuclear magnetic resonance assay.	equivalent to	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	nuclear magnetic resonance 3D structure determination assay								nanomolar	IEDB	IEDB
assay measuring T cell epitope specific biological activity	biological activity|any method	A T cell epitope recognition assay that detects biological activity.	equivalent to	assay measuring binding of a T cell epitope:MHC:TCR complex					('process is result of' some 'MHC:epitope complex binding to TCR')					IEDB	IEDB
biological activity assay measuring epitope specific chemokine (C-C motif) ligand 17 production by T cells	CCL17/TARC release|biological activity	A T cell epitope specific cytokine production assay that detects production of chemokine (C-C motif) ligand 17 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 17 production					IEDB	IEDB
biological activity assay measuring epitope specific macrophage migration inhibitory factor (MIF) production by T cells	MIF release|biological activity	A T cell epitope specific cytokine production assay that detects macrophage migration inhibitory factor (MIF) production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					macrophage migration inhibitory factor production					IEDB	IEDB
biological activity assay measuring epitope specific oncostatin M production by T cells	oncostatin M release|biological activity	A T cell epitope specific cytokine production assay that detects oncostatin M production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					Oncostatin M production					IEDB	IEDB
assay measuring a binding constant of a T cell epitope:MHC:TCR complex	binding constant|binding assay	A T cell epitope recognition assay that quantitavely characterizes the binding of a TCR with a ligand by determining a binding constant. 	subclass of	assay measuring binding of a T cell epitope:MHC:TCR complex								binding constant		IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-C motif) ligand 17 production by T cells	CCL17/TARC release|RNA/DNA detection	An assay of epitope specific chemokine (C-C motif) ligand 17 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 17 production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
cytometric bead array assay measuring epitope specific chemokine (C-C motif) ligand 22 production by T cells	CCL22/MDC release|cytometric bead array	An assay of epitope specific chemokine (C-C motif) ligand 22 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 22 production by T cells	cytometric bead array assay									IEDB	IEDB
in vitro assay measuring epitope specific T cell killing	cytotoxicity|in vitro assay	A T cell epitope specific killing assay that uses an in vitro cell killing assay.	equivalent to	biological activity assay measuring epitope specific T cell killing	in vitro cell killing assay									IEDB	IEDB
cytometric bead array assay measuring epitope specific granzyme A release by T cells	granzyme A release|cytometric bead array	A T cell epitope specific granzyme A release assay that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific granzyme A release by T cells	cytometric bead array assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific granzyme A release by T cells	granzyme A release|RNA/DNA detection	A T cell epitope specific granzyme A release assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific granzyme A release by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
cytometric bead array assay measuring epitope specific granzyme B release by T cells	granzyme B release|cytometric bead array	A T cell epitope specific granzyme B release assay that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific granzyme B release by T cells	cytometric bead array assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific granzyme B release by T cells	granzyme B release|RNA/DNA detection	A T cell epitope specific granzyme B release assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific granzyme B release by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
cytometric bead array assay measuring epitope specific macrophage migration inhibitory factor (MIF) production by T cells	MIF release|cytometric bead array	An assay of epitope specific macrophage migration inhibitory factor (MIF) production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific macrophage migration inhibitory factor (MIF) production by T cells	cytometric bead array assay									IEDB	IEDB
cytometric bead array assay measuring epitope specific oncostatin M production by T cells	oncostatin M release|cytometric bead array	An assay of epitope specific oncostatin M production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific oncostatin M production by T cells	cytometric bead array assay									IEDB	IEDB
ELISPOT assay measuring epitope specific perforin release by T cells	perforin release|ELISPOT	A T cell epitope specific perforin release assay that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific perforin release by T cells	enzyme-linked immunospot assay									IEDB	IEDB
in vivo assay measuring epitope specific proliferation of T cells	proliferation|in vivo assay	A T cell epitope specific proliferation assay that is performed in vivo.	subclass of	biological activity assay measuring epitope specific proliferation of T cells										IEDB	IEDB
in vitro assay measuring epitope specific proliferation of T cells	proliferation|in vitro assay	A T cell epitope specific proliferation assay that is performed on cells in vitro.	subclass of	biological activity assay measuring epitope specific proliferation of T cells										IEDB	IEDB
assay measuring qualitiative binding of a MHC:ligand complex	qualitative binding|binding assay	A MHC:ligand binding assay that detects qualitative binding.	subclass of	assay measuring binding of a MHC:ligand complex										IEDB	IEDB
in vivo assay measuring T cell epitope specific protection from challenge	protection from challenge|in vivo assay	An efficacy of T cell epitope intervention experiment that uses a protection from challenge in vivo intervention experiment.	equivalent to	biological activity assay measuring T cell epitope specific in vivo activity	protection from challenge in vivo intervention experiment									IEDB	IEDB
in vitro assay measuring T cell epitope specific suppression	suppression|in vitro assay	T cell epitope dependent biological activity assay that detects suppression of an in vitro response.	subclass of	assay measuring T cell epitope specific biological activity										PERSON:Randi Vita, James Overton, Bjoern Peters	IEDB
MHC ligand assay	ligand presentation/binding|binding assay	An immune epitope assay that detects either the processing and presentation of a ligand by an antigen presenting cell or the binding of a ligand to an MHC molecule.	equivalent to	immune epitope assay					MHC protein complex binding to ligand					IEDB	IEDB
ELISPOT assay measuring epitope specific interleukin-2 production by T cells	IL-2 release|ELISPOT	An assay of epitope specific interleukin-2 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-2 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
